X,Y,OBJECTID,FOLIO,NAME,ENTITYNAME,ADDRESS,CITY,ZIPCODE,PHONE,PHONE2,TYPE,CAPACITY,CAP_DESC,LAT,LON,POINT_X,POINT_Y
-8920155.3519,2973227.924,13,0232340190660,ALBION HOTEL,ALBION ASSOC LTD,1650 JAMES AVE,MIAMI BEACH,33139,305-913-1000,,HOTL,100,Rooms,25.79107,-80.13112,942061.498097077,530699.122698657
-8919566.7986,2975051.5173,14,0232260011160,ALDEN HOTEL,2925 TRUST LLC,2925 NDIAN CREEK DR,MIAMI BEACH,33139,786-301-1166,,HOTL,71,Rooms,25.80582,-80.12583,943765.622641578,536071.43610099
-8919045.9846,2978018.7644,15,0232140190001,ALEXANDER HOTEL MIAMI BEACH LLC,ALEXANDER HOTEL MIAMI BEACH LLC,5225 COLLINS   AVE,MIAMI BEACH,33140,305-469-2878,305-851-2444,HOTL,80,Rooms,25.82982,-80.12115,945246.658393413,544803.077758409
-8934824.8175,2967879.5636,16,0341170081120,ALOFT CORAL GABLES,CORAL GABLES MIRACLE MILE HOTEL LLC,2524 LE JEUNE RD,CORAL GABLES,33134,305-858-0915,305-858-0915,HOTL,171,Rooms,25.74781,-80.26289,898787.997373912,514708.724889487
-8946621.2742,2974741.5344,17,3530291000010,ALOFT DORAL,DORAL HOTEL ENTERPRISE LLC,3265 NW 107 AVE,DORAL,33172,786-272-7200,786-272-7200,HOTL,145,Rooms,25.80331,-80.36886,863810.159193244,534702.982801154
-8927499.3488,2969894.8182,18,0102070501050,ALOFT MARY BRICKELL,MARY BRICKELL VILLAGE HOTEL LLC,1001 SW 2 AVE,MIAMI,33130,786-837-1443,786-837-1443,HOTL,160,Rooms,25.76411,-80.19709,920413.000055578,520761.436537325
-8940601.3332,2975398.971,19,3030260290001,ALOFT MIAMI AIRPORT,7220 NW 36 STREET HOSPITALITY LLC,7220 NW 36 ST,MIAMI,33166,305-901-1005,305-901-1005,HOTL,125,Rooms,25.80863,-80.31479,881592.247644745,536724.436435409
-8921535.5163,2995058.7246,20,,ALOFT MIAMI AVENTURA,NORWICH AVENTURA I LLC,2910 NE 207 ST,AVENTURA,33180,786-590-5150,,HOTL,207,Rooms,25.96752,-80.14352,937563.36043983,594804.816337407
-8941057.4575,2960470.6612,21,3050020000560,ALOFT MIAMI DADELAND,IC-MIAMI DADELAND LLC,7600 N KENDALL DR,MIAMI,33156,305-595-6000,603-559-2167,MOTL,122,Rooms,25.68784,-80.31888,880470.940176077,492815.830027074
-8952940.0349,2939880.6819,22,3069340040381,AMERICAN BEST INN,CHAND TARA,26480 S DIXIE HWY,HOMESTEAD,33032,305-258-3034,305-258-3034,MOTL,25,Rooms,25.52104,-80.42563,845580.358382579,432026.135333739
-8937111.8077,2978062.0693,23,0431180015001,ANCHOR HOTEL,903 ANCHOR HOTEL LLC,903 W 1 AVE,HIALEAH,33010,786-344-2592,,HOTL,21,Rooms,25.83017,-80.28344,891862.624741744,544606.497442909
-8920494.6367,2971445.2297,24,0242030091690,ANGLER'S BOUTIQUE RESORT,ANGLER'S BOUTIQUE RESORT,660 WASHINGTON AVE,MIAMI BEACH,33139,305-534-9600,,HOTL,132,Rooms,25.77665,-80.13416,941093.050558914,525451.321186408
-8958739.9794,2933278.7636,25,1078130320040,ANHINGA MOTEL,V D S INC,250 S KROME,HOMESTEAD,33030,,,MOTL,14,Rooms,25.46751,-80.47773,828474.559588995,412499.881735407
-8920062.8009,2973917.323,26,0232260010190,ANSONIA HOTEL,PLYMOUTH HOTEL LLC,318 21 ST,MIAMI BEACH,33139,305-405-5070,516-606-0900,HOTL,30,Rooms,25.79665,-80.13028,942321.684912663,532727.623890989
-8920120.4309,2972882.0173,27,0232340191070,AQUA HOTEL,1530 COLLINS LLC,1530 COLLINS AVE,MIAMI,33139,305-538-4361,305-538-4361,HOTL,45,Rooms,25.78827,-80.1308,942171.434556995,529682.872434571
-8920191.1078,2974094.1705,28,0232270400001,ARTECITY JABB LLC,ARTECITY JABB LLC,2130 PARK AVE TH 4 E,MIAMI BEACH,33139,305-447-0123,305-447-0123,HOTL,1,Rooms,25.79808,-80.13144,941939.006544162,533245.00113707
-8927487.503,2969381.0788,29,0141380014010,ATTON BRICKELL MIAMI HOTEL,ATTON HOTELS MIAMI LLC,1500 SW 1 AVE,MIAMI,33129,305-773-9827,305-773-9827,HOTL,275,Rooms,25.75995,-80.19698,920457.226016995,519250.975975573
-8920218.8608,2971484.5548,30,0242030040190,AVALON HOTEL,YANKEE DEVELOPMENT CORP,700 OCEAN DR,MIAMI BEACH,33139,305-849-3033,305-538-0133,HOTL,68,Rooms,25.77697,-80.1317,941907.561068997,525572.311101906
-8919481.1751,2986572.6102,31,1222260030040,BAL HARBOUR QUARZO HOTEL,BEACH HAUS LODGING LLC,290 BAL BAY DR,BAL HARBOUR,33154,305-222-7922,786-924-1825,HOTL,29,Rooms,25.89896,-80.12507,943793.249554828,569926.374296486
-8919130.4237,2982011.5415,32,0232020070030,BALTIC HOTEL INC.,BALTIC HOTEL INC.,7643 HARDING AVE,MIAMI BEACH,33141,305-861-8845,,HOTL,12,Rooms,25.8621,-80.12191,944918.746975746,556534.311185658
-8929765.9911,2971253.0937,33,0141020059120,BARLINGTON HOTEL,CM & DR INC,1350 NW 2 ST,MIAMI,33125,305-449-9132,305-649-2677,HOTL,52,Rooms,25.7751,-80.21745,913687.814030912,524714.938144743
-8946613.969,2975465.922,34,3530291060010,BAYMONT INN & SUITES,B & I PROPERTIES LTD,3805 NW 107 AVE,MIAMI,33178,6409896,640-9896,HOTL,92,Rooms,25.80917,-80.3688,863821.538107496,536832.349277325
-8958384.3662,2931735.0811,35,1679190070030,BAYMONT INN & SUITES,KAIVAL JAI,553 NE 1 AVE,FLORIDA CITY,33034,305-790-3477,,HOTL,42,Rooms,25.45499,-80.47453,829546.456395328,407953.66674649
-8920237.9312,2971332.743,36,0242030040060,BEACH PARADISE HOTEL,MERUELO HOMERO & BELINDA,600 OCEAN DR,MIAMI BEACH,33139,305-865-1250,,HOTL,50,Rooms,25.77574,-80.13186,941854.124824163,525125.578727655
-8919166.1266,2983162.8659,37,0232020050620,BEACH PLACE HOTEL,HARDING INVESTMENTS LLC,8601 HARDING AVE,MIAMI BEACH,33141,305-864-8885,305-864-8885,HOTL,53,Rooms,25.8714,-80.12223,944790.66389858,559916.223056987
-8920086.0047,2972531.7003,38,0232340080660,BEACH PLAZA HOTEL,JAAN HOSPITALITY LLC,1401 COLLINS AVENUE,MIAMI BEACH,33139,305-531-6421,305-531-6421,HOTL,77,Rooms,25.78544,-80.13049,942279.998316247,528653.622524574
-8920213.8713,2971510.3704,39,0242030040180,BEACON HOTEL,SOUTH BEACH PROPERTIES,720 OCEAN DR,MIAMI BEACH,33139,305-674-8200,305-674-8200,HOTL,79,Rooms,25.77718,-80.13164,941921.811040495,525648.311277993
-8920149.5369,2973305.3339,40,0232340190700,BEDS & DRINKS HOSTEL,BEDS & DRINKS HOLDINGS LLC,1676 JAMES AVE,MIAMI BEACH,33139,305-967-4510,786-230-1576,HOTL,26,Rooms,25.7917,-80.13107,942077.185073581,530926.81056349
-8958715.6525,2935033.48,41,,BEL INN,COMIJO INC,1202 N KROME AVE,HOMESTEAD,33030,,,MOTL,12,Rooms,25.48174,-80.47751,828526.373133663,417672.026902907
-8920329.8489,2970590.7597,42,0242032720001,BENTLEY BEACH HOTEL,HEAFY BENTLEY MANAGEMENT LLC,101 OCEAN DRIVE,MIAMI BEACH,33139,,,HOTL,109,Rooms,25.76974,-80.13268,941596.74804233,522942.125089325
-8920269.4732,2971239.3531,43,0242032230001,BENTLEY SOUTH BEACH,JKR BENTLEY MANAGEMENT LLC,510 OCEAN DR,MIAMI BEACH,33139,305-538-1700,786-427-1149,HOTL,51,Rooms,25.77499,-80.13215,941762.685702577,524850.374553658
-8920101.6924,2973053.4754,44,0232340190790,BERKELEY SHORE HOTEL,BERKELEY SHORE LLC,1610 COLLINS AVE,MIAMI BEACH,33139,305-864-3777,786-216-7780,HOTL,96,Rooms,25.78966,-80.13063,942223.497773077,530187.311058238
-8954254.09429999,2934373.5195,45,1079160010191,BEST STUDIO INN,MIAMI HOTELS LLC,2750 NE 8 ST,HOMESTEAD,33033,305-245-5000,305-245-5000,MOTL,121,Rooms,25.47639,-80.43744,841756.09339333,415780.780357324
-8919192.11759999,2975973.8729,46,0232260011980,BEST WESTERN,SOKOLOV LTD,4101 COLLINS AVE,MIAMI BEACH,33140,6733337,,HOTL,204,Rooms,25.81328,-80.12246,944854.937392078,538789.99693682
-8958593.34699999,2930228.5196,47,1679300010281,BEST WESTERN GATEWAY TO THE KEYS,HOTEL TWO,411 S KROME AVE,FLORIDA CITY,33034,305-246-5100,305-246-5100,HOTL,114,Rooms,25.44277,-80.47641,828944.462192494,403509.844925493
-8949497.02269999,2960506.756,48,3049360300010,BEST WESTERN HOTEL & SUITES,WYNNE BUILDING CORPORATION,8560 SW 124 AVE,MIAMI,33183,305-271-4848,,HOTL,120,Rooms,25.68814,-80.3947,855502.937290661,492800.529860824
-8952357.59109999,2954530.0809,49,3059220010230,BEST WESTERN KENDALL AIRPORT HOTEL AND SUITES,ERG HOTELS INC,13700 SW 139 CT,MIAMI,33186,305-238-1766,305-238-1766,HOTL,97,Rooms,25.63974,-80.42039,847117.39500666,475174.176005989
-8922035.63409999,2980392.8125,50,2332090000131,BEST WESTERN ON THE BAY,NORTH BAY INN LLC,1819 79 ST CSWY,NORTH BAY VILLAGE,33141,305-856-7100,786-485-2001,MOTL,113,Rooms,25.84901,-80.14801,936367.124971412,551721.499288991
-8937345.8988,2975414.2053,51,0531190104760,BEST WESTERN PLUS MIAMI AIRPORT NORTH HOTEL & SUITES,FAIRWAY DRIVE INVESTMENT LLC,131 FAIRWAY DR,MIAMI SPRINGS,33166,305-884-5120,786-515-1880,HOTL,92,Rooms,25.80875,-80.28554,891213.178862162,536820.380797327
-8946500.381,2975473.8024,52,3530291060021,BEST WESTERN PLUS MIAMI DORAL,IRATEL PROPERTIES LLC,3875 NW 107 AVE,MIAMI,33178,,,MOTL,103,Rooms,25.80924,-80.36778,864157.122410078,536857.123834074
-8934828.2422,2970806.6129,53,0141050350011,BEST WESTERN PREMIER,FLAGLER 4100 PROPERTY LLC,4100 W FLAGLER ST,MIAMI,33134,305-406-3580,305-774-6100,HOTL,144,Rooms,25.77149,-80.26293,898729.746834245,523315.874013737
-8923849.3719,2985314.4067,54,0622280010593,BEST WESTERN WINDOR INN,SWAMIJI INCORPORATED,12210 BISCAYNE BLVD,NORTH MIAMI,33181,305-891-7350,,MOTL,98,Rooms,25.88879,-80.1643,930916.44952108,566146.483234242
-8920019.7759,2972672.1555,55,0232340080581,BETSY SOUTH BEACH,BETSY ROSS OWNER LLC,1440 OCEAN DRIVE,MIAMI BEACH,33139,305-531-3934,305-531-3934,HOTL,132,Rooms,25.78658,-80.12991,942473.047142744,529067.852667242
-8921355.8393,2972301.8104,56,0232330180110,BIKINI HOSTEL,BIKINI HOSTEL INC,1247 WEST AVENUE,MIAMI BEACH,33139,,305-253-9000,HOTL,18,Rooms,25.78358,-80.14191,938530.685604911,527953.121957071
-8936571.4357,2967008.2802,57,0341180062281,BILTMORE HOTEL,BILTMORE HOTEL LIMITED PARTNERSHIP,1200 ANASTASIA AVE,CORAL GABLES,33134,305-445-1926,305-445-1926,HOTL,270,Rooms,25.74076,-80.27859,893637.367911413,512117.773050405
-8926243.5982,2973198.6304,58,0132310360021,BISCAYNE BAY MARRIOTT HOTEL,MARRIOTT INTL INC&CCMH POTOMAC,1633 N BAYSHORE DR,MIAMI,33132,305-374-3900,305-374-3900,HOTL,604,Rooms,25.79084,-80.18581,924065.681726579,530497.99153924
-8926126.78479999,2979013.3008,59,0132180230430,BISCAYNE INN & APTS,BISCAYNE INN & APTS,6730 BISCAYNE BLVD,MIAMI,33138,,954-438-6714,MOTL,53,Rooms,25.83786,-80.18476,924305.070355412,547591.036093242
-8920413.50559999,2970758.0109,60,0242030030370,BLANC KARA,MANAGER 205 LLC,205 COLLINS AVE,MIAMI BEACH,33139,,,HOTL,25,Rooms,25.77109,-80.13344,941346.186863661,523432.278308488
-8920249.3951,2971821.3029,61,,BLUE MOON HOTEL,HHLP BLUE MOON LESSEE LLC,944 & 926 COLLINS AVE,MIAMI BEACH,33139,,215-238-1046,HOTL,75,Rooms,25.7797,-80.13197,941810.769267827,526561.815356493
-8919924.329,2973885.6947,62,,BOULAN HOTEL,THINK PROPERTIES LLC,220 21 ST,MIAMI BEACH,33139,,,HOTL,30,Rooms,25.79639,-80.12904,942731.594197828,532637.350777574
-8920203.51949999,2971563.9971,63,0242030040150,BOULEVARD HOTEL,"EDWARDS PROPERTY & HOTEL MANAGEMENT, INC.",740 OCEAN DR,MIAMI BEACH,33139,305-532-0276,305-532-0376,HOTL,39,Rooms,25.77761,-80.13155,941951.374301579,525806.186290324
-8920057.4301,2973605.0595,64,0232340190120,BOUTIQUE 18 LLC,SOUTH BEACH 18 LLC,235 18 ST,MIAMI BEACH,33139,305-627-9370,786-802-1905,HOTL,24,Rooms,25.79412,-80.13024,942343.624173246,531809.748102076
-8920127.5173,2971819.7095,65,,BREAKWATER HOTEL,940 OCEAN DRIVE LLC,940 - 960 OCEAN DR,MIAMI BEACH,33139,305-532-2362,305-672-2579,HOTL,100,Rooms,25.77968,-80.13087,942171.096959244,526559.506305993
-8958699.2324,2934486.8747,66,,BUDGET HOST INN,NEW GAYATRI INC,815 N KROME AVE,FLORIDA CITY,33034,305-248-2741,305-248-2741,MOTL,45,Rooms,25.47731,-80.47736,828581.354650997,416061.214507736
-8932474.1315,2981180.304,67,3031030000140,BUDGET INN,DI PAL I INC,8929 NW 27 AVE,MIAMI,33147,305-693-3355,,MOTL,23,Rooms,25.85538,-80.24179,905513.634185079,553846.447794989
-8935416.6379,2969936.6881,68,0141050450160,BURKES MOTEL,B M C MOTEL CORP,4445 SW 8 ST,MIAMI,33134,305-442-1212,305-448-3735,MOTL,36,Rooms,25.76445,-80.26821,897004.443854414,520748.27875524
-8920080.7127,2973414.7262,69,0232340190430,CADET HOTEL,SOUTHERN PROP INVESTMENT GP,1701 JAMES AVE,MIAMI BEACH,331397,305-672-6688,305-672-6688,HOTL,43,Rooms,25.79258,-80.13045,942278.499959663,531249.749550156
-8919231.9421,2975832.7466,70,0232260011850,"CADILLAC HOTEL & BEACH CLUB, AUTOGRAPH COLLECTION",HHLP MIAMI BEACH LESSEE LLC,3925 COLLINS AVE,MIAMI BEACH,33140,305-538-3373,215-238-1046,HOTL,262,Rooms,25.81214,-80.12282,944740.006191496,538374.393765405
-8939782.77849999,2971478.5731,71,3040020490010,CAMBRIA SUITES MIAMI AIRPORT- BLUE LAGOON,SUNFLOWER HOSPITALITY LLC,6750 NW 7 ST,MIAMI,33126,305-261-9899,305-261-9899,HOTL,122,Rooms,25.77692,-80.30743,884072.035336077,525212.116284236
-8943497.36669999,2974387.2349,72,3530280160050,CANDLEWOOD HOTEL,CANDLEWOOD LEASING NO 2 INC,8855 NW 27 ST,MIAMI,33172,5919099,305-591-9099,HOTL,128,Rooms,25.80045,-80.3408,873048.179759163,533706.770226657
-8938493.58689999,2975307.9645,73,2630250320001,CANDLEWOOD SUITES HOTEL,WATERSTONE CAPITAL AIRPORT LLC,5911 NW 36 ST,VIRGINIA GARDENS,33166,305-874-7000,305-448-2898,HOTL,130,Rooms,25.8079,-80.29585,887822.949422162,536489.81715399
-8952366.44929999,2954622.8187,74,3059220010210,CANDLEWOOD SUITES MIAMI EXEC AIRPORT - KENDALL,ERG HOLDINGS INC,13600 SW 139 CT,MIAMI,33186,305-793-4533,305-238-1966,HOTL,102,Rooms,25.64049,-80.42047,847089.98430033,475447.027822487
-8918925.3423,2980873.1564,75,0232110070460,CARILLON HOTEL AND SPA,CARILLON HOTEL LLC,6801 COLLINS AVENUE,MIAMI BEACH,33141,847-235-8100,847-235-8100,HOTL,150,Rooms,25.85289,-80.12007,945546.998015828,553193.505859405
-8926163.65009999,2978156.1927,76,0132180310250,CARL'S EL PADRE MOTEL,PATEL CHANDRAKANT J,5950 BISCAYNE BLVD,MIAMI,33137,305-754-2092,305-754-2092,MOTL,16,Rooms,25.83093,-80.18509,924211.755581412,545071.505043074
-8920292.58979999,2972461.1105,77,0232340110020,CASA BOUTIQUE HOTEL,WALDORF HOTEL LLC,1334 WASHINGTON AVE,MIAMI BEACH,33139,786-216-7780,305-528-2044,HOTL,32,Rooms,25.78487,-80.13235,941670.685558494,528442.060283653
-8920179.33359999,2971696.064,78,0242031700001,CASA GRANDE HOTEL,CASA GRANDE COND ASSOC,834 OCEAN DR,MIAMI BEACH,33139,305-534-2135,,HOTL,38,Rooms,25.77868,-80.13134,942020.313796245,526194.958806738
-8938695.59389999,2969766.3502,79,1540120210060,CASA STUDIO,ALAMEDA HOLDING LLC,6290 SW 8 ST,WEST MIAMI,33144,305-267-5100,305-663-1002,MOTL,40,Rooms,25.76307,-80.29767,887312.807069745,520194.66765774
-8920375.42719999,2972717.9966,80,,CASA VICTORIA ORCHID HOTEL,1444 DREXEL LLC,507 ESPANOLA WAY,MIAMI BEACH,33139,305-672-4449,305-532-2357,HOTL,22,Rooms,25.78695,-80.13309,941420.839929581,529195.69099424
-8920027.17099999,2973485.1587,81,0232340190350,CATALINA HOTEL,CATALINA HOTEL LLC,1732 COLLINS AVENUE,MIAMI BEACH,33139,305-674-1160,305-674-1160,HOTL,191,Rooms,25.79315,-80.12996,942435.39498708,531457.854120821
-8920049.79509999,2972401.6783,82,0232340080500,CAVALIER HOTEL,VENTURA CAPITAL ONE LLC,1320 OCEAN DR,MIAMI BEACH,33139,305-673-1199,786-606-7623,HOTL,44,Rooms,25.78439,-80.13018,942389.561089244,528272.06226407
-8920379.34799999,2970679.7128,83,0242030030180,CENTURY HOTEL,CENTURY MIAMI BEACH LLC,140 OCEAN DR,MIAMI BEACH,33139,,,HOTL,24,Rooms,25.77046,-80.13313,941448.68567441,523202.718072072
-8919154.52039999,2976628.6746,84,0232230020010,"CHATEAU, VERSAILLES, FONTAINEBLEAU FLORIDA TOWER II & III",FONTAINEBLEAU FLORIDA HOTEL LLC,4441 COLLINS AVE,MIAMI BEACH,33140,305-538-2000,305-674-4752,HOTL,1594,Rooms,25.81858,-80.12213,944953.208520997,540715.373991571
-8934391.28419999,2969535.8218,85,,CHATEAUBLEAU INN,CHATEAUBLEAU INN INC,1111 PONCE DE LEON BLVD,CORAL GABLES,33134,305-448-2634,305-448-2634,HOTL,82,Rooms,25.76121,-80.259,900042.558841161,519586.468742907
-8934316.08909999,2969392.8205,86,0341080092310,CHATEAUBLEAU INN,CHATEAUBLEAU INN INC,1211 E PONCE DE LEON BLVD,CORAL GABLES,33134,305-448-2634,305-448-2634,HOTL,36,Rooms,25.76005,-80.25832,900267.247696247,519167.216300577
-8920396.55079999,2971895.529,87,0242030090140,CHELSEA HOTEL,HOTEL CHELSEA SOUTH BEACH LLC,944 WASHINGTON AVE,MIAMI BEACH,33139,305-534-4069,,HOTL,43,Rooms,25.7803,-80.13328,941374.309838913,526777.185988739
-8937877.29299999,2978129.7523,88,0430130150050,CHESAPEAKE HOTEL,ATLANTIC HOTEL MANAGEMENT LLC,935  W OKEECHOBEE RD,HIALEAH,33010,305-887-7457,305-887-7457,MOTL,86,Rooms,25.83071,-80.29032,889599.626314994,544793.139786154
-8920223.51679999,2971740.0964,89,0242030040410,CHESTERFIELD / LEON / LILY HOTELS,CHESTERFIELD HOTEL & SUITES LLC,855 COLLINS AVE,MIAMI BEACH,33139,305-531-5831,305-398-7000,HOTL,93,Rooms,25.77904,-80.13173,941888.844570994,526323.559927493
-8919303.61569999,2975816.5288,90,0232260011860,CIRCA 39,THIRTYNINE COLLINS LLC,3900 COLLINS AVENUE,MIAMI BEACH,33140,305-538-4900,305-905-5418,HOTL,86,Rooms,25.81201,-80.12346,944528.498740494,538325.311842576
-8920033.76209999,2973416.3482,91,0232340190320,CLAREMONT HOTEL/ HAMPTON INN,CLAREMONT PARTNERS LLC,1700 COLLINS AVE,MIAMI BEACH,33139,786-620-2900,704-752-7901,HOTL,69,Rooms,25.7926,-80.13002,942417.249025997,531255.434578158
-8919351.08409999,2975479.1916,92,0232260011500,CLARIDGE HOTEL,3500 HOTEL LLC,3500 COLLINS AVE,MIAMI BEACH,33140,305-604-8485,305-604-8485,HOTL,51,Rooms,25.80928,-80.12389,944394.811999995,537332.811202906
-8936867.61539999,2975331.8811,93,0531190104580,CLARION INN 7 SUITES,DORAL BOULEVARD HOTEL LLC,5301 NW 36 ST,MIAMI SPRINGS,33166,305-871-6000,305-576-7800,HOTL,274,Rooms,25.80809,-80.28125,892628.030363161,536586.09648899
-8920299.35359999,2972706.7936,94,0232340150020,CLAY HOTEL,CLAY HOTEL PARTNERSHIP LTD,406 ESPANOLA WAY,MIAMI BEACH,33139,305-534-2988,305-534-2988,HOTL,93,Rooms,25.78686,-80.13241,941645.932983328,529164.235348493
-8920127.8648,2971949.0185,95,0232340080170,CLEVELANDER HOTEL,CLEVELANDER OCEAN LP,1020 OCEAN DR,MIAMI BEACH,33139,,,HOTL,60,Rooms,25.78073,-80.13087,942167.560877077,526939.685007572
-8920096.18499999,2972459.213,96,0232340080560,CLIFTON HOTEL,1343 COLLINS AVE LLC,1343 COLLINS AVE,MIAMI BEACH,33139,310-477-3593,424-291-5865,HOTL,35,Rooms,25.78486,-80.13058,942251.311365746,528440.310287155
-8920355.51749999,2971698.0684,97,0242030040520,CLINTON HOTEL,SM THINK CLINTON LLC,825 WASHINGTON AVE,MIAMI BEACH,33139,305-934-4040,305-934-4040,HOTL,80,Rooms,25.7787,-80.13291,941499.433932494,526197.420744076
-8919041.76089999,2980459.6593,98,0232110071730,COLLINS HOTEL,HOTEL COLLINS LLC,6600 COLLINS AVE,MIAMI BEACH,33141,786-235-7409,786-235-7409,MOTL,101,Rooms,25.84955,-80.12111,945211.178477496,551976.182506658
-8920206.73699999,2971547.2678,99,0242030040160,COLONY HOTEL,COLONY HOTEL LLC,736 OCEAN DRIVE,MIAMI BEACH,33139,,305-528-8000,HOTL,50,Rooms,25.77748,-80.13158,941942.186983995,525756.93638882
-8948160.08039999,2966071.7762,100,3040180700030,COMFORT SUITES,LITOWITZ GROUP LTD,3901 SW 117 AVE,MIAMI,33175,2203901,305-220-3901,HOTL,132,Rooms,25.73318,-80.38269,859381.586357497,509189.560730986
-8936161.08849999,2975437.5634,101,0531190134070,COMFORT SUITES MIAMI INTERNATIONAL AIRPORT,PFEFFER AND MARIN HOLDINGS LLC,657 MINOLA DR,MIAMI SPRINGS,33166,305-888-3661,305-888-3661,HOTL,102,Rooms,25.80894,-80.2749,894714.417922661,536908.191317238
-8919611.2813,2974388.386,102,0232260010641,COMO METROPOLITAN MIAMI BEACH,COMO TRAYMORE LLC,2445 COLLINS AVE,MIAMI BEACH,33140,786-502-6401,305-695-3508,HOTL,74,Rooms,25.80046,-80.12624,943647.091710661,534121.238885909
-8919222.4224,2975896.319,103,0232260011920,CONFIDANTE,HT - MIAMI BEACH LLC,4041 COLLINS AVE,MIAMI BEACH,33140,,,HOTL,380,Rooms,25.81265,-80.12274,944766.894917246,538561.442603908
-8926946.7571,2969428.8864,104,,CONRAD MIAMI,AG-M MIAMI HOTEL OWNER LLC,1395 BRICKELL AVE,MIAMI,33131,,,HOTL,203,Rooms,25.76034,-80.19212,922055.172296163,519401.327380903
-8959378.6882,2934058.1279,105,,COPPER DOOR B&B,COPPER BEAT LLC,439 NW 4 AVE,MIAMI,33128,305-454-9065,845-764-3895,HOTL,22,Rooms,25.47383,-80.48347,826572.667723496,414789.678993076
-8923422.8008,2960873.048,106,,CORAL REEF APARTMENTS,CORAL REEF OF KEY BISCAYNE DEVELOPERS INC,303-305 GALEN DR,KEY BISCAYNE,33149,786-401-7854,305-343-6804,HOTL,51,Rooms,25.6911,-80.16047,932634.422463078,494299.898253158
-8958734.8416,2932167.0025,107,1678240000341,CORAL ROC MOTEL,CORAL ROC LLC,1100 N KROME AVENUE,FLORIDA CITY,33034,305-246-2888,305-246-2888,MOTL,17,Rooms,25.4585,-80.47769,828502.631055161,409222.818079576
-8919108.0543,2981341.2753,108,0232110020540,COSTA NORTE BOUTIQUE HOTEL,MADMANORT INC,7130 HARDING AVE,MIAMI BEACH,33141,305-505-8206,,HOTL,27,Rooms,25.85668,-80.12171,944997.99812958,554565.374834821
